Year,exporter_key,exporter_name,exporterLAT,exporterLONG,fullDescription,un,hazWasteDesc,packingGroup,totalQuantityinShipment,units_final,latitude,longitude,ReceivingFacilityEPAIDNumber,importer_name
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,71519.21142,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,77479.4103,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,76399.40774,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,75772.09001,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,73259.19033,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,76658.86237,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,75979.38155,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,73459.2244,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,77419.08256,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,72999.28211,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,75318.9516,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,72179.18778,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,72999.28211,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,69799.19055,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,71179.01742,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,72779.28999,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
2011,E51A7093,SHELL CANADA LIMITED,53.796259,-113.091816,"HAZARDOUS WASTE, SOLID, NOS CLASS 9",UN3077,"Environmentally hazardous substances, solid, n.o.s.",III,71108.71066,kg,39.9935799,-81.5667114,OHD042319244,AMG VANADIUM
