SourceID,RCRAName,FacLat,FacLong,RCRAUniverse,FacPercentMinority,RCRACurrSNC,RCRACurrComplStatus,RCRAQtrsInSNC,RCRAQtrsInNC
CA0000006007,UNITED FABRICARE SUPPLY INC.,33.8758,-118.24391,LQG,97.135,No,No Violation,0,0
CA0000027839,RITE AID NO 5462,34.06922,-118.39954,LQG,34.407,No,No Violation,0,0
CA0000031997,"QUALAWASH HOLDINGS, LLC",33.957233,-118.179705,LQG,95.408,No,Noncompliance,0,12
CA0000036434,ADVANTEST AMERICA,34.10616,-117.97264,LQG,87.438,No,No Violation,0,1
CA0000063941,RITE AID NO 5535,34.150245,-118.072127,LQG,61.031,No,No Violation,0,0
CA0000068817,RITE AID #5464,33.996686,-118.39536,LQG,63.916,No,No Violation,0,0
CA0000068890,RITE AID NO 5555,34.43366,-118.53017,LQG,37.775,No,No Violation,0,0
CA0000068916,RITE AID NO 5568,34.20842,-118.50928,LQG,66.552,No,No Violation,0,0
CA0000068932,RITE AID  #5494,33.961172,-118.03483,LQG,80.072,No,No Violation,0,0
CA0000072587,GOLDEN CLEANERS,34.21854,-118.606,LQG,61.437,No,No Violation,0,0
CA0000084483,LOS ANGELES ACADEMY MIDDLE SCHOOL,33.99156,-118.26363,LQG,97.775,No,No Violation,0,0
CA0000127308,ALBION DAIRY DEMOLITION AND REMEDIATION PROJ,34.06847,-118.22303,LQG,89.467,No,No Violation,0,0
CA0000137893,WEYMOUTH TREATMENT PLANT,34.111972,-117.782111,LQG,53.569,No,No Violation,0,0
CA0000138339,SCE GENERAL OFFICE KLINGERMAN,34.05534,-118.08643,LQG,94.252,No,No Violation,0,0
CA0000180828,"METAL CHEM, INC",34.23548,-118.59922,LQG,64.032,No,No Violation,0,0
CA0000198804,RITE AID NO 5491,33.8204,-118.32115,LQG,69.253,No,No Violation,0,0
CA0000228155,RITE AID NO 5490,34.022207,-118.464349,LQG,37.574,No,No Violation,0,0
CA0000228171,RITE AID NO 5485,33.998627,-118.462244,LQG,41.126,No,No Violation,0,0
CA0000228353,RITE AID NO 5544,34.18725,-118.64275,LQG,41.801,No,No Violation,0,0
