SourceID,RCRAName,FacLat,FacLong,FacPercentMinority,FacPopulationDensity,RCRACurrSNC,RCRACurrComplStatus,RCRAQtrsInSNC,RCRAQtrsInNC,RCRAPenalties
CAD008375222,ELECTROLIZING INC.,34.02087,-118.24687,93.5,14705.41,Yes,Significant Violation,12,12,10000
CAD008378002,SERVICE PLATING CO INC,33.98381,-118.23934,98.783,15931.54,Yes,Significant Violation,12,12,3150
CAD008488025,PHIBRO-TECH INC.,33.95914,-118.06586,85.787,7732.79,Yes,Significant Violation,12,12,0
CAD051475036,"PEMACO METAL PROCESSING, INC.",34.0863,-118.14777,86.899,9296.03,Yes,Significant Violation,12,12,0
CAD057348278,CALIFORNIA TECHNICAL PLATING,34.27948,-118.42946,92.079,8194.59,Yes,Significant Violation,12,12,22000
CAD063113690,LA HABRA PLATING,33.92097,-117.94174,60.621,5322.08,Yes,Significant Violation,12,12,0
CAD066233966,QUEMETCO. INC.,34.025026,-117.98347,91.914,5236.68,Yes,Significant Violation,12,12,0
CAD099452708,"INDUSTRIAL SERVICE OIL COMPANY, INC.",34.01816,-118.2201,96.184,12499.89,Yes,Significant Violation,12,12,0
CAD990667198,MONOGRAM AEROSPACE FASTENERS,33.9839,-118.14055,93.876,9381.59,Yes,Significant Violation,12,12,0
CAD008292435,ALCO CAD-NICKEL PLATING CORP.,34.02579,-118.24129,93.123,14093.6,No,Noncompliance,10,12,13000
CAD008330318,RAMCAR BATTERIES INC,33.9932,-118.13974,94.639,9296.93,No,Noncompliance,10,12,0
CAD077227049,TESORO LOS ANGELES REFINERY - CARSON OPPERATIONS,33.81323,-118.24298,91.167,6548.76,Yes,Significant Violation,4,12,0
CAD008237950,"CAL-TRON PLATING, INC.",33.96519,-118.06008,85.555,7044.93,No,Noncompliance,1,12,14600
CAR000216044,WEBER METALS INC.,33.88268,-118.16874,88.614,11506.63,No,Noncompliance,1,12,0
CA0000031997,"QUALAWASH HOLDINGS, LLC",33.957233,-118.179705,95.408,13130.2,No,Noncompliance,0,12,0
CA0000372243,"ROBINSON HELICOPTER COMPANY,INC.",33.79472,-118.33495,57.979,5898.28,No,Noncompliance,0,12,0
CA0981377971,GENERAL PLATING COMPANY,34.00369,-118.29025,96.932,17172.11,No,Noncompliance,0,12,0
