Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED TOXIC, ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, TOXIC, NOS)",UN1992,"Flammable liquids, toxic, n.o.s.",,,,398229,K - Kilograms,398229,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED RICH ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, NOS)",UN1993,"Flammable liquids, n.o.s.",,,,19032,K - Kilograms,19032,kg,,,,,,,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED TOXIC, ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, TOXIC, NOS)",UN1992,"Flammable liquids, toxic, n.o.s.",,,,466653,K - Kilograms,466653,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"SOILS/SLUDGES FROM PETROLEUM REFINERY (WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCES, SOLID, NOS)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",,,,498872,K - Kilograms,498872,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,CORUNNA,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED NON-HALOGENATED/HALOGENATED LEAN ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, NOS)",UN1993,"Flammable liquids, n.o.s.",,,,2112940,K - Kilograms,2112940,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED NON-HALOGENATED/HALOGENATED LEAN ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, NOS)",UN1993,"Flammable liquids, n.o.s.",,,,4117953,K - Kilograms,4117953,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED NON-HALOGENATED, CORROSIVE, FLAMMABLE LIQUIDS AND SLURRIES (WASTE CORROSIVE LIQUIDS, FLAMMABLE, NOS)",UN2920,"Corrosive liquids, flammable, n.o.s.",,,,70235,K - Kilograms,70235,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED NON-HALOGENATED/HALOGENATED RICH ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, NOS)",UN1993,"Flammable liquids, n.o.s.",,,,1936114,K - Kilograms,1936114,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED RICH ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, NOS)",UN1993,"Flammable liquids, n.o.s.",,,,127970,K - Kilograms,127970,kg,,,,,,,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1
2012,MIR000014530,CLEAN HARBORS INC,G4475 SOUTH DORT HIGHWAY,BURTON,MI,48529,"BLENDED/BULKED NON-HALOGENATED/HALOGENATED RICH ORGANIC LIQUIDS AND SLURRIES (WASTE FLAMMABLE LIQUIDS, NOS)",UN1993,"Flammable liquids, n.o.s.",,,,998316,K - Kilograms,998316,kg,,,,,,,CLEAN HARBORS INC,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0
