Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2011,003896196 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,16,CY - Cylinders,1962,P - Pounds,889.947504,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,003896207 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,8,CY - Cylinders,1107,P - Pounds,502.126344,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,003896207 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,3,CY - Cylinders,284,P - Pounds,128.820128,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,003896212 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,2,CY - Cylinders,2164,P - Pounds,981.573088,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,003986213 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,12,CY - Cylinders,2189,P - Pounds,992.912888,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,003896219 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,8,CY - Cylinders,2105,P - Pounds,954.81116,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,003896221 FLE,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G1A4,WASTE ALKALI METAL DISPERSIONS,UN1391,"Alkali metal dispersions,  or   Alkaline earth metal dispersions",I,5,CY - Cylinders,2167,P - Pounds,982.933864,kg,D001; D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BLAINE,WA,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,WASTE ETHANE,UN1035,Ethane,,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE HYDROGEN, COMPRESSED",UN1049,"Hydrogen, compressed",,2,CY - Cylinders,2,K - Kilograms,2,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GAS, FLAMMABLE, NOS (PENTANE)",UN1054,,,2,CY - Cylinders,2,K - Kilograms,2,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
