Year,rcra,exporter_key,fullDescription,un,hazWasteDesc,totalQuantityinShipment,units_final,mgmt,ReceivingFacilityEPAIDNumber,company,importer_state
2007,001118278 JJK,E25A6367,"HAZARDOUS WASTE SOLID, NOS (SCRAP METAL FROM DETONATOR)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",358,kg,H132,TXD069452340,US ECOLOGY,TX
2007,001118294 JJK,E25A6367,"HAZARDOUS WASTE SOLID, NOS (SCRAP METAL FROM DETONATOR)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",542,kg,H132,TXD069452340,US ECOLOGY,TX
2007,001130083 JJK,E25A5943,FLAMMABLE LIQUID,UN1219,Isopropanol or  Isopropyl alcohol,1197.73,kg,H132,TXD069452340,US ECOLOGY,TX
2007,001130066 JJK,E25A5943,"FLAMMABLE LIQUID, NOS (THINNER)",UN1219,Isopropanol or  Isopropyl alcohol,733.86,kg,H141,TXD069452340,US ECOLOGY,TX
2007,001130066 JJK,E25A5943,"FLAMMABLE LIQUID, NOS (THINNER)",UN1219,Isopropanol or  Isopropyl alcohol,8268,kg,H141,TXD069452340,US ECOLOGY,TX
2007,000456251 GBF,E25A9603,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, NOS (TOLUENE)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",910.359144,kg,H132,TXD069452340,US ECOLOGY,TX
2007,000489906 GBF,E25A9603,TOLUENE,UN3077,"Environmentally hazardous substances, solid, n.o.s.",1524.06912,kg,H132,TXD069452340,US ECOLOGY,TX
2007,000220979 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",695,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220980 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",2853,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220981 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",2372,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220982 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",2231,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220983 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (PAPERS WITH ACETONE/F003)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",2179,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220985 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",485,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220986 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",130,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220988 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",250,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220989 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",800,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220990 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",40,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000220991 GBF,E32A2754,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD/D008)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",4,kg,H132,CAT000646117,CHEMICAL WASTE MANAGEMENT,CA
2007,000924577 FLE,E25A2153,"WASTE FLAMMABLE LIQUID, NOS (ACETONE, XYLENE)",UN1993,"Flammable liquids, n.o.s.",3682,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000924577 FLE,E25A2153,WASTE PAINT RELATED MATERIAL,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",1590,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000924577 FLE,E25A2153,WASTE PAINT,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",338,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,001017696 FLE,E25A2153,WASTE PAINT RELATED MATERIAL,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",3074,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,001017696 FLE,E25A2153,WASTE PAINT,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",1025,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,001017696 FLE,E25A2153,"WASTE FLAMMABLE LIQUID, NOS (ACETONE, XYLENE)",UN1993,"Flammable liquids, n.o.s.",5270,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000762693 JJK,E50A2187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",16351.9916,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000762694 JJK,E50A2187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",10366.39157,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000762695 JJK,E50A2187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",15621.70848,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000762696 JJK,E50A2187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",16478.99736,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000762697 JJK,E50A2187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",15316.44106,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000943514 JJK,E50A9917,"SELF HEATING SOLID, INORGANIC NOS (CATALYST CONTAINING IRON SULPHIDE)",UN3190,"Self-heating solid, inorganic, n.o.s.",19731.252,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000944102 JJK,E50A9917,"SELF HEATING SOLID, INORGANIC NOS (CATALYST CONTAINING IRON SULPHIDE)",UN3190,"Self-heating solid, inorganic, n.o.s.",18243.47024,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000944103 JJK,E50A9917,"SELF HEATING SOLID, INORGANIC NOS (CATALYST CONTAINING IRON SULPHIDE)",UN3190,"Self-heating solid, inorganic, n.o.s.",16628.68272,kg,H010,TXD074195678,ERAMET GROUP,TX
2007,000225506 GBF,E29A5312,WASTE AEROSOLS FLAMMABLE NOS,UN1950,"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity)",23.4,kg,,TXD069452340,US ECOLOGY,TX
2007,001017194 FLE,E29A5312,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, NOS (LEAD)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",98,kg,H141,TXD055141378,CLEAN HARBORS INC,TX
2007,001017194 FLE,E29A5312,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (ETHANOL, METHANOL)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",67,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,001017194 FLE,E29A5312,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCES, SOLID NOS (LEAD, MERCURY)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",4,kg,H141,TXD055141378,CLEAN HARBORS INC,TX
2007,001017194 FLE,E29A5312,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, NOS (LEAD, MERCURY)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",295,kg,H141,TXD055141378,CLEAN HARBORS INC,TX
2007,001017194 FLE,E29A5312,"WASTE CORROSIVE LIQUIDS, NOS (SODIUM HYDROXIDE, POTASSIUM HYDROXIDE)",UN1760,"Corrosive liquids, n.o.s.",20,l,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,001017194 FLE,E29A5312,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCES, SOLID NOS (LEAD, MERCURY)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",18,kg,H141,TXD055141378,CLEAN HARBORS INC,TX
2007,001017583 FLE,E29A5312,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCES SOLID, NOS (LEAD)",UN3077,"Environmentally hazardous substances, solid, n.o.s.",4053,kg,H141,TXD055141378,CLEAN HARBORS INC,TX
2007,001017583 FLE,E29A5312,"WASTE FLAMMABLE LIQUID, NOS (FLUX WITH ISOPROPYL ALCOHOL)",UN1993,"Flammable liquids, n.o.s.",20,l,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540605 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19720,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540606 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20480,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540607 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20440,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540608 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20380,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540609 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20400,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540610 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19360,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540611 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20740,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540612 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20420,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540613 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19920,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540614 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",18800,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540615 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20270,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540617 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20240,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540618 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19700,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540619 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19240,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540620 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20300,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540621 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19900,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540622 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20380,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540623 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19700,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540624 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19960,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540625 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19980,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540626 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20160,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540627 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20400,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540628 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20540,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540629 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19500,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540630 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20460,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540631 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19360,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540632 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19400,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540633 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19140,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540634 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20340,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540635 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20400,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540636 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19520,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540754 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20620,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540755 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20420,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540756 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20640,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540757 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20260,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540758 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19960,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540879 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19580,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540880 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19060,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540881 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",19540,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
2007,000540882 FLE,E18A8879,"DICHLOROETHYLENE, TRICHLOROETHYLENE",UN2929,"Toxic liquids, flammable, organic, n.o.s.",20000,kg,H040,TXD055141378,CLEAN HARBORS INC,TX
