Year,rcra,exporter_name,exporter_address,exporter_city,exporter_state,exporter_zip,exporter_country,exporter_key,exporterLAT,exporterLONG,fullDescription,un,hazWasteDesc,packingGroup,totalQuantityinShipment,units_final,mgmt,ExpectedManagementMethod,portCity,portState,latitude,longitude,ReceivingFacilityEPAIDNumber,importer_name,company,importer_address,importer_city,importer_state,receivingfacilityzipcode,filenom,
2007,000762693 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,16351.9916,kg,H010,"Metals recovery including retorting, smelting, chemical, etc.",SWEETGRASS,MT,28.9548016,-95.3383865,TXD074195678,GULF CHEMICAL & METALLURGICAL CORP,GULF CHEMICAL & METALLURGICAL CORP,302 MIDWAY ROAD,FREEPORT,TX,77541,,
2007,000762694 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,10366.39157,kg,H010,"Metals recovery including retorting, smelting, chemical, etc.",SWEETGRASS,MT,28.9548016,-95.3383865,TXD074195678,GULF CHEMICAL & METALLURGICAL CORP,GULF CHEMICAL & METALLURGICAL CORP,302 MIDWAY ROAD,FREEPORT,TX,77541,,
2007,000762695 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,15621.70848,kg,H010,"Metals recovery including retorting, smelting, chemical, etc.",SWEETGRASS,MT,28.9548016,-95.3383865,TXD074195678,GULF CHEMICAL & METALLURGICAL CORP,GULF CHEMICAL & METALLURGICAL CORP,302 MIDWAY ROAD,FREEPORT,TX,77541,,
2007,000762696 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,16478.99736,kg,H010,"Metals recovery including retorting, smelting, chemical, etc.",SWEETGRASS,MT,28.9548016,-95.3383865,TXD074195678,GULF CHEMICAL & METALLURGICAL CORP,GULF CHEMICAL & METALLURGICAL CORP,302 MIDWAY ROAD,FREEPORT,TX,77541,,
2007,000762697 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF-HEATING SOLID, INORGANIC, NOS (SPENT REFINING CATALYST RQ = 1 LB. ARSENIC)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,15316.44106,kg,H010,"Metals recovery including retorting, smelting, chemical, etc.",SWEETGRASS,MT,28.9548016,-95.3383865,TXD074195678,GULF CHEMICAL & METALLURGICAL CORP,GULF CHEMICAL & METALLURGICAL CORP,302 MIDWAY ROAD,FREEPORT,TX,77541,,
2007,001587631 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14752.17262,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587632 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14776.21299,kg,,Not provided,PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587633 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14929.52709,kg,,Not provided,SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587634 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14517.21196,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587635 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14283.61208,kg,,Not provided,PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587636 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14211.03736,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587637 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,15301.47253,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587644 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14694.56643,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",PORTAL,ND,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587645 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,15232.98014,kg,,Not provided,SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587650 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,15379.03676,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587651 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,UN3190,II,15280.6073,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587652 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,15645.29526,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587653 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14469.5848,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
2007,001587654 JJK,CRITERION CATALYSTS AND TECHNOLOGIES,2159 BRIER PARK PLACE NW,MEDICINE HAT,ALBERTA,T1C 1S6,CANADA,E50A2187,50.06066,-110.72187,"WASTE, SELF HEATING SOLID, INORGANIC NOS (IRON SULFIDES)",UN3190,"Self-heating solid, inorganic, n.o.s.",II,14513.12963,kg,H039,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",SWEETGRASS,MT,30.1680946,-91.9817352,LAD980622161,CATALYST RECOVERY OF LA LLC,CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,,
